sample_id,shap_topk,lime_topk,overlap_features,topk_agreement
0,cat__ Source IP_172.16.0.1; num__ Bwd Packet Length Mean; cat__ Destination IP_192.168.10.50; num__ Max Packet Length; num__Bwd Packet Length Max,cat__ Destination IP_104.17.19.11 <= 0.00; cat__Flow ID_192.168.10.9-104.193.82.53-9094-443-6 <= 0.00; cat__Flow ID_192.168.10.1-192.168.10.3-53-61382-17 <= 0.00; cat__Flow ID_192.168.10.1-192.168.10.3-53-60760-17 <= 0.00; cat__Flow ID_172.16.0.1-192.168.10.50-52370-80-6 <= 0.00,N/A,0.0
103,cat__ Source IP_172.16.0.1; cat__ Destination IP_192.168.10.50; num__ Max Packet Length; cat__ Timestamp_7/7/2017 3:57; num__ Destination Port,cat__Flow ID_192.168.10.3-192.168.10.15-53-63542-17 <= 0.00; cat__Flow ID_172.16.0.1-192.168.10.50-51777-80-6 <= 0.00; cat__Flow ID_172.16.0.1-192.168.10.50-53039-80-6 <= 0.00; cat__Flow ID_192.168.10.3-192.168.10.16-53-55932-17 <= 0.00; cat__Flow ID_172.217.12.130-192.168.10.9-443-9021-6 <= 0.00,N/A,0.0
514,cat__ Source IP_172.16.0.1; num__ Flow IAT Max; cat__ Destination IP_192.168.10.50; num__ Flow Duration; num__Total Length of Fwd Packets,cat__Flow ID_172.16.0.1-192.168.10.50-14272-80-6 > 0.00; cat__Flow ID_192.168.10.1-192.168.10.3-53-61174-17 <= 0.00; cat__Flow ID_192.168.10.3-192.168.10.15-53-61873-17 <= 0.00; cat__Flow ID_172.16.0.1-192.168.10.50-51854-80-6 <= 0.00; cat__Flow ID_172.16.0.1-192.168.10.50-15541-80-6 <= 0.00,N/A,0.0
1,num__ Flow IAT Max; cat__ Source IP_172.16.0.1; num__ Fwd IAT Max; cat__ Destination IP_192.168.10.50; num__ Fwd IAT Mean,cat__Flow ID_172.16.0.1-192.168.10.50-52395-80-6 <= 0.00; cat__Flow ID_172.16.0.1-192.168.10.50-15268-80-6 <= 0.00; cat__Flow ID_172.16.0.1-192.168.10.50-51127-80-6 <= 0.00; cat__Flow ID_192.168.10.15-23.52.155.27-58238-80-6 <= 0.00; cat__Flow ID_192.168.10.16-74.119.118.82-45944-443-6 <= 0.00,N/A,0.0
3,cat__ Source IP_172.16.0.1; cat__ Destination IP_192.168.10.50; num__ Flow IAT Max; cat__ Timestamp_7/7/2017 3:57; num__ Avg Fwd Segment Size,cat__Flow ID_172.16.0.1-192.168.10.50-52702-80-6 <= 0.00; cat__Flow ID_192.168.10.3-192.168.10.5-53-51681-17 <= 0.00; cat__Flow ID_172.16.0.1-192.168.10.50-50611-80-6 <= 0.00; cat__Flow ID_192.168.10.17-199.59.88.242-45671-80-6 <= 0.00; cat__Flow ID_172.16.0.1-192.168.10.50-14636-80-6 <= 0.00,N/A,0.0
